bus_name,bus_type,start_date,no employ,mnt_prft,bus_status,pay_sys,avg_tran,receipts,tracking,credit,defaults,loan_amnt,use,media,bus_app,obstacle,Credit score,Credit Risk
Thando Threads,Retail,2020-06,2,"R15,000",Yes,SnapScan;Cash,80,Yes,Manual,Yes,No,"R20,000",Stock,Instagram,Trello;Google Sheets,Seasonal demand,30,Medium Risk
GreenHive Gardens,Agriculture,2021-03,4,"R25,000",Yes,EFT;Cash,50,No,Manual,No,No,"R30,000",Equipment,Facebook,None,Access to capital,35,Medium Risk
KamoTech Repairs,Services,2019-10,3,"R10,000",No,Cash;EFT,40,Yes,Not at all,Yes,Yes,"R10,000",Marketing,WhatsApp,Trello;Xero,Customer acquisition,5,High Risk
SunShine Café,Retail,2022-01,5,"R30,000",Yes,Yoco;SnapScan,120,Yes,Digital,No,No,"R15,000",Stock,Instagram;TikTok,Square POS;Google Sheets,Staff retention,40,Low Risk
Noma Prints,Manufacturing,2020-11,1,"R12,000",No,EFT;Cash,30,Yes,Manual,No,No,"R12,000",New printer,Facebook,None,Marketing budget,25,High Risk
Neo Mechanics,Services,2018-05,2,"R10,000",Yes,Cash,25,No,Not at all,Yes,Yes,"R8,000",Tool upgrades,None,None,Low foot traffic,10,High Risk
Berry & Bean,Retail,2021-07,3,"R15,000",Yes,Yoco;Cash,90,Yes,Manual,No,No,"R18,000",Inventory,Instagram;Facebook,Excel,Advertising reach,35,Medium Risk
Vuyo Vending,Retail,2023-02,1,"R8,000",No,Cash,20,No,Not at all,No,No,"R5,000",Marketing,None,None,Product awareness,15,High Risk
Khosi Connect,Services,2022-10,4,"R18,000",Yes,SnapScan;EFT,60,Yes,Manual,Yes,No,"R25,000",Digital equipment,Instagram;WhatsApp,Google Drive;Asana,Tech upgrades,30,Medium Risk
Mandisa Media,Services,2019-09,3,"R20,000",Yes,EFT,45,Yes,Digital,No,No,"R22,000",Ad campaigns,Facebook;Instagram,Trello;Canva,Client retention,40,Low Risk
Mo’s Groceries,Retail,2018-11,2,"R14,000",Yes,Cash;EFT,70,Yes,Manual,No,No,"R14,000",Stock,Facebook,None,Cash flow inconsistency,35,Medium Risk
Khula Crafts,Manufacturing,2021-01,1,"R9,000",No,Cash,35,No,Not at all,No,No,"R6,000",Materials,Instagram,None,Supply chain delays,20,High Risk
Zuki Styles,Retail,2022-08,2,"R15,000",Yes,Yoco;SnapScan,80,Yes,Digital,No,No,"R20,000",Stock,Instagram;TikTok,Canva,Low repeat business,40,Low Risk
Njabulo Logistics,Services,2020-06,5,"R40,000",Yes,EFT,100,Yes,Digital,Yes,No,"R35,000",Vehicle maintenance,Facebook,Trello;QuickBooks,Fuel costs,35,Medium Risk
Mama T’s Kitchen,Retail,2019-03,3,"R20,000",Yes,Cash,85,Yes,Manual,No,Yes,"R16,000",Expansion,Facebook,None,Limited space,25,High Risk
Zulu Harvest,Agriculture,2020-02,4,"R25,000",Yes,Cash;EFT,50,Yes,Manual,No,No,"R20,000",Equipment,None,None,Land rental fees,30,Medium Risk
Xolani Fix It,Services,2018-08,2,"R9,000",No,Cash,30,No,Not at all,Yes,Yes,"R7,000",Marketing,WhatsApp,None,Customer reach,5,High Risk
Khayelitsha Ink,Retail,2021-12,2,"R13,000",Yes,EFT;Yoco,75,Yes,Digital,No,No,"R15,000",Printer & ink,Instagram,Google Sheets;Canva,Equipment costs,40,Low Risk
Bright Bags,Manufacturing,2020-10,3,"R17,000",Yes,Cash;EFT,55,Yes,Manual,No,No,"R18,000",Materials,Facebook,None,Marketing leads,35,Medium Risk
Wanda Wellness,Services,2019-05,2,"R22,000",Yes,EFT,40,Yes,Digital,No,No,"R20,000",Client onboarding,TikTok;Instagram,Calendly,Client loyalty,40,Low Risk
eKasi Grocery,Retail,2022-04,1,"R12,000",No,Cash,25,No,Manual,No,No,"R10,000",Stock,None,None,No foot traffic,20,High Risk
Lebo Lines,Agriculture,2023-01,2,"R15,000",Yes,EFT;Cash,35,Yes,Manual,No,No,"R15,000",Packaging tools,None,None,Delayed payments,30,Medium Risk
Sipho’s Auto,Services,2021-06,5,"R30,000",Yes,EFT,110,Yes,Manual,Yes,No,"R30,000",Workshop tools,WhatsApp,Trello;Xero,Parts availability,30,Medium Risk
Mimi Marketplace,Retail,2019-12,3,"R18,000",Yes,Yoco;SnapScan,90,Yes,Manual,No,No,"R18,000",Stock,Instagram,Trello;Square POS,Stock turnover,35,Medium Risk
Chuma Prints,Manufacturing,2020-05,1,"R11,000",No,Cash,30,Yes,Manual,No,No,"R10,000",Materials,None,None,Printer maintenance,20,High Risk
